Constituent_ID,Age,Gender,Income,Assigned_Solicitors_Date,Assigned_Fundraiser,Assigned_Solicitors_Date_1,Assigned_Fundraiser_1,Sign_Up_Amount,Frequency,Sign_Up_Date,Current_Status,Status.Indicator,Fund,First_Gift_Date,First_Gift_Amount,Last_Gift_Date,Last_Gift_Amount,Saved,Saved_Date,Upgrade,Upgrade_Response,Upgrade2,Upgrade_Date,Upgrade_Response_1,Upgrade_1,Upgrade_Date_1,Cancellation,Cancellation Date,Cancellation_1,Cancellation Date_1,Total_Number_Of_Gifts,Total_Gift_Amount,DDD,DD_Dishonored,Dishonored_Date,CCC,Ccard_chargeback,Chargeback_Date,Times,Sign Up times,Sign Up times_1,Sign Up times_2,Sign Up times_3,Sign Up times_4,DDDown,IF DD Downgrade,IF DD Downgrade_1
427569,0,Female,59000,14/01/2016,Telefundraiser,26/06/2015,Telefundraiser,34,MONTHLY GIVING,7/06/2015,Active,1,RN-AUTO2015; RN-AUTO2015L,26/06/2015,30,9/05/2016,34,0,,0,,UTM1512,31/12/2015,,,,,,,,205,5010,0,,,1,Ccard chargeback,7/10/2014,2,29/09/1996,7/06/2015,,,,0,,
429984,53,Male,86400,15/07/2015,Canvasser,19/05/2010,Telefundraiser,25,MONTHLY GIVING,7/07/2015,Terminated,0,AQ-DDC2015,15/07/2015,25,7/04/2016,25,0,,0,TM-No Conversation,UTM1602,24/03/2016,,,,Cancel Recurring Donation,21/04/2016,,,10,250,0,,,1,Ccard chargeback,7/09/2015,1,7/07/2015,,,,,0,,
431011,0,Female,85000,29/10/2015,Telefundraiser,25/06/2015,Telefundraiser,65,MONTHLY GIVING,7/06/2015,Active,1,AQ-AUTO2015; AQ-MDP2015,25/06/2015,40,9/05/2016,65,0,,0,,,,,,,,,,,18,1045,0,,,0,,,1,7/06/2015,,,,,0,,
443914,0,Female,0,5/06/2015,Telefundraiser,,,260,ANNUAL GIVING,7/06/2015,Held,1,RN-AUTO2015L,5/06/2015,260,5/06/2015,260,0,,0,TM-No Conversation,UTM1605A,12/05/2016,,,,,,,,8,610,0,,,0,,,2,25/07/1997,7/06/2015,,,,0,,
446966,69,Male,46700,15/07/2015,Telefundraiser,1/06/2005,Telefundraiser,30,MONTHLY GIVING,7/07/2015,Active,1,AQ-PHONE2015,15/07/2015,30,9/05/2016,30,0,,0,,,,,,,,,,,100,1576,0,,,0,,,3,30/08/1995,16/12/2001,7/07/2015,,,0,,
448162,88,Female,73300,4/06/2015,Telefundraiser,,,26,MONTHLY GIVING,7/06/2015,Active,1,AQ-PHONE2015,24/06/2015,26,9/05/2016,26,0,,0,,,,,,,,,,,18,468,0,,,0,,,1,7/06/2015,,,,,0,,
45096,49,Female,55700,,WEB,,,20,MONTHLY GIVING,7/07/2015,Active,1,AQ-WEB2015,23/07/2015,20,9/05/2016,20,0,,0,TM-Not Interested,UTM1511,2/12/2015,,,,,,,,17,340,0,,,0,,,1,7/07/2015,,,,,0,,
48534,65,Female,57500,,WEB,,,40,MONTHLY GIVING,7/02/2016,Held,1,AQ-WEB2016,23/02/2016,40,9/05/2016,40,0,,0,TM-No Conversation,UTM1604,3/05/2016,,,,,,,,189,3480,0,,,1,Ccard chargeback,7/10/2014,2,28/03/1996,7/02/2016,,,,0,,
55989,84,Female,30800,25/07/2015,Canvasser,,,60,ANNUAL GIVING,7/07/2015,Held,1,AQ-DDC2015,25/07/2015,60,25/07/2015,60,0,,0,,,,,,,,,,,3,180,0,,,0,,,2,7/09/2008,7/07/2015,,,,0,,
59164,44,Male,65000,16/07/2015,Telefundraiser,,,30,MONTHLY GIVING,7/07/2015,Active,1,AQ-PHONE2015,16/07/2015,30,9/05/2016,30,0,,0,,,,,,,,,,,17,510,0,,,0,,,1,7/07/2015,,,,,0,,
69836,0,Unknown,0,23/06/2015,Telefundraiser,,,40,MONTHLY GIVING,7/06/2015,Active,1,AQ-PHONE2015,1/07/2015,40,9/05/2016,40,0,,0,,,,,,,,,,,16,640,0,,,0,,,1,7/06/2015,,,,,0,,
71466,51,Female,51700,20/05/2015,Telefundraiser,13/08/2003,Telefundraiser,20,MONTHLY GIVING,7/06/2015,Terminated,0,AQ-PHONE2015,7/09/2015,20,9/11/2015,20,0,,0,,,,,,,Cancel Recurring Donation,14/12/2015,,,16,195,1,DD Dishonoured,10/06/2015,0,,,3,26/05/1998,13/08/2003,7/06/2015,,,1,Downgrade,
74241,54,Female,69000,5/02/2016,Telefundraiser,1/07/2013,Telefundraiser,40,MONTHLY GIVING,7/02/2016,Held,1,RN-AUTO2016L,11/02/2016,40,9/03/2016,40,0,,0,,,,,,,,,,,21,806,1,DD Dishonoured,9/02/2015,0,,,2,7/07/2013,7/02/2016,,,,0,,
755787,68,Female,36700,24/06/2015,Telefundraiser,12/12/2006,Telefundraiser,20,MONTHLY GIVING,7/06/2015,Active,1,AQ-WEB2016,24/06/2015,30,7/04/2016,15,0,,0,,,,,,,,,,,16,375,0,,,0,,,2,7/08/2008,7/06/2015,,,,0,,
756741,66,Female,35400,11/06/2015,Telefundraiser,7/05/2003,Telefundraiser,10,MONTHLY GIVING,7/06/2015,Active,1,AQ-AUTO2015,11/06/2015,30,9/05/2016,10,0,,0,,,,,,,,,,,63,865,0,,,0,,,3,28/04/2000,7/05/2003,7/06/2015,,,1,Reduce Donation,
76752,61,Female,0,23/06/2015,Telefundraiser,22/04/2008,Telefundraiser,10,MONTHLY GIVING,7/06/2015,Active,1,RN-AUTO2016S,23/06/2015,30,9/05/2016,30,0,,0,,,,,,,,,,,112,935,0,,,0,,,2,27/07/1999,7/06/2015,,,,0,,
900908,80,Female,26300,5/05/2016,Telefundraiser,17/06/2015,Telefundraiser,20,MONTHLY GIVING,7/07/2015,Active,1,AQ-PHONE2015; RN-AUTO2016,8/07/2015,10,9/05/2016,10,0,,1,TM-Yes,UTM1604,5/05/2016,,,,,,,,17,230,0,,,0,,,1,7/07/2015,,,,,1,cahnge amount I think?,
903767,55,Female,0,6/07/2015,Telefundraiser,15/04/2011,Saver,26,MONTHLY GIVING,7/07/2015,Terminated,0,AQ-PHONE2015,6/07/2015,26,9/05/2016,26,0,,0,,,,,,,,,,,164,2697,0,,,0,,,3,28/03/1995,24/10/2001,7/07/2015,,,0,,
913556,61,Male,100000,9/06/2015,Telefundraiser,10/08/2005,Telefundraiser,16,MONTHLY GIVING,7/06/2015,Active,1,AQ-AUTO2015,24/06/2015,26,9/05/2016,16,0,,0,,UTM1512,31/12/2015,,,,,,,,23,548,0,,,0,,,2,25/06/1997,7/06/2015,,,,0,,
915634,68,Female,26900,,WEB,,,10,MONTHLY GIVING,7/07/2015,Active,1,AQ-WEB2015,4/07/2015,10,9/05/2016,10,0,,0,TM-No Conversation,UTM1511,3/12/2015,,,,,,,,17,170,0,,,0,,,1,7/07/2015,,,,,0,,
920096,72,Female,0,18/06/2015,Telefundraiser,,,30,MONTHLY GIVING,7/07/2015,Active,1,AQ-AUTO2015,8/07/2015,30,9/05/2016,30,0,,0,,,,,,,,,,,17,510,0,,,0,,,1,7/07/2015,,,,,0,,
927605,67,Female,23800,15/06/2015,Telefundraiser,,,26,MONTHLY GIVING,7/06/2015,Active,1,AQ-AUTO2015,15/06/2015,26,9/05/2016,26,0,,0,TM-No Conversation,UTM1510,27/11/2015,,,,,,,,18,468,0,,,0,,,1,7/06/2015,,,,,0,,
929398,0,Female,68000,9/02/2016,Telefundraiser,,,26,MONTHLY GIVING,7/02/2016,Active,1,AQ-PHONE2016,9/02/2016,26,9/05/2016,26,0,,0,,,,,,,,,,,28,440,0,,,0,,,2,28/02/1992,7/02/2016,,,,0,,
929675,0,Male,26300,17/05/2016,Telefundraiser,9/06/2015,Telefundraiser,30,MONTHLY GIVING,7/05/2016,Terminated,0,AQ-PHONE2016,9/06/2015,26,17/05/2016,30,0,,0,TM-No Conversation,UTM1510,27/11/2015,,,,,,,,20,528,0,,,0,,,2,7/06/2015,7/05/2016,,,,0,,
935086,60,Male,34700,17/06/2015,Frontliner,,,25,MONTHLY GIVING,7/07/2015,Terminated,0,AQ-DDC2015,8/07/2015,25,9/05/2016,25,0,,0,TM-Wrong No,UTM1510,2/12/2015,,,,,,,,14,350,0,,,0,,,1,7/07/2015,,,,,0,,
937819,0,Female,65800,8/03/2016,Telefundraiser,3/09/2014,Telefundraiser,30,MONTHLY GIVING,7/06/2015,Active,1,AQ-WEB2015; RN-AUTO2016,11/06/2015,20,9/05/2016,30,0,,1,TM-No Conversation,UTM1510,30/11/2015,TM-Yes,UTM1602,8/03/2016,,,,,20,840,0,,,0,,,2,24/04/2008,7/06/2015,,,,0,,
942902,61,Male,0,10/07/2015,Telefundraiser,,,26,MONTHLY GIVING,7/07/2015,Active,1,RN-AUTO2015L,10/07/2015,26,9/05/2016,26,0,,0,TM-No Conversation,UTM1511,3/12/2015,,,,,,,,27,792,0,,,0,,,2,18/03/1998,7/07/2015,,,,0,,
948827,58,Male,93300,,WEB,,,40,MONTHLY GIVING,7/02/2016,Active,1,AQ-MDP2016; AQ-WEB2016,29/01/2016,30,9/05/2016,30,0,,0,,,,,,,,,,,8,250,0,,,0,,,1,7/02/2016,,,,,0,,
956088,52,Female,100000,22/06/2015,Canvasser,,,25,MONTHLY GIVING,7/06/2015,Terminated,0,AQ-DDC2015,22/06/2015,25,7/07/2015,25,0,,0,,,,,,,Cancel Recurring Donation,27/07/2015,,,2,50,0,,,0,,,1,7/06/2015,,,,,0,,
956208,56,Male,77500,25/07/2015,Canvasser,,,10,MONTHLY GIVING,7/07/2015,Active,1,AQ-DDC2015,25/07/2015,35,9/05/2016,10,0,,0,,,,,,,,,,,14,165,0,,,0,,,1,7/07/2015,,,,,1,asked to lower to $10pm,
957174,56,Female,67500,9/12/2015,Telefundraiser,26/07/2015,Canvasser,75,MONTHLY GIVING,7/07/2015,Active,1,AQ-DDC2015; AQ-MDP2015,26/07/2015,35,9/05/2016,75,0,,0,,,,,,,,,,,17,1035,0,,,0,,,1,7/07/2015,,,,,0,,
978265,72,Male,66300,10/11/2015,Telefundraiser,17/06/2015,Telefundraiser,40,MONTHLY GIVING,7/06/2015,Active,1,AQ-AUTO2015; AQ-MDP2015,17/06/2015,30,9/05/2016,40,0,,0,,,,,,,,,,,18,660,0,,,0,,,1,7/06/2015,,,,,0,,
978582,0,Female,44200,26/06/2015,Telefundraiser,,,26,MONTHLY GIVING,7/06/2015,Active,1,AQ-PHONE2015,26/06/2015,26,9/05/2016,26,0,,0,TM-Not Interested,UTM1510,26/11/2015,,,,,,,,18,468,0,,,0,,,1,7/06/2015,,,,,0,,
8441960,60,Female,76400,12/10/2015,Telefundraiser,15/06/2015,Telefundraiser,70,MONTHLY GIVING,7/06/2015,Active,1,AQ-AUTO2015; AQ-MDP2015; RN-AUTOMDP16,1/07/2015,30,9/05/2016,55,0,,0,,,,,,,,,,,159,5230,0,,,0,,,4,20/11/1992,5/05/2000,26/03/2002,7/06/2015,,0,,
986177,60,Female,22500,11/06/2015,Telefundraiser,,,26,MONTHLY GIVING,7/06/2015,Terminated,0,AQ-PHONE2015,11/06/2015,26,9/05/2016,26,0,,0,TM-Not Interested,UTM1510,26/11/2015,,,,,,,,13,338,0,,,0,,,1,7/06/2015,,,,,0,,
105022,69,Female,0,9/02/2016,Canvasser,,,5,MONTHLY GIVING,7/02/2016,Active,1,AQ-DDC2016,24/02/2016,25,9/05/2016,5,0,,0,,,,,,,,,,,10,70,0,,,0,,,1,7/02/2016,,,,,0,,
121558,50,Female,0,18/06/2015,Telefundraiser,20/07/2000,Frontliner,30,MONTHLY GIVING,7/07/2015,Terminated,0,AQ-PHONE2015,8/07/2015,30,9/11/2015,30,0,,0,,,,,,,Cancel Recurring Donation,25/11/2015,,,5,150,0,,,0,,,1,7/07/2015,,,,,0,,
17267,45,Female,88000,8/06/2015,Telefundraiser,31/10/2014,Telefundraiser,26,MONTHLY GIVING,7/06/2015,Active,1,AQ-AUTO2015,24/06/2015,26,9/05/2016,26,0,,0,,,,,,,,,,,34,628,0,,,0,,,2,7/04/2003,7/06/2015,,,,0,,
1793,45,Female,54300,,WEB,,,20,MONTHLY GIVING,7/06/2015,Held,1,AQ-WEB2015,25/06/2015,20,7/12/2015,20,0,,0,TM-No Conversation,UTM1510,24/11/2015,,,,,,,,7,140,0,,,0,,,1,7/06/2015,,,,,0,,
27485,0,Unknown,20800,4/06/2015,Telefundraiser,,,26,MONTHLY GIVING,7/06/2015,Terminated,0,AQ-PHONE2015,24/06/2015,26,9/02/2016,26,0,,0,TM-Wrong No,UTM1510,23/11/2015,,,,Cancel Recurring Donation,1/03/2016,,,9,234,0,,,0,,,1,7/06/2015,,,,,0,,
404022,56,Female,61700,11/06/2015,Telefundraiser,29/09/2014,Telefundraiser,26,MONTHLY GIVING,7/06/2015,Active,1,AQ-AUTO2015,1/07/2015,26,9/05/2016,26,0,,0,TM-Not Interested Financial,UTM1510,19/11/2015,,,,,,,,17,442,0,,,0,,,1,7/06/2015,,,,,0,,
404775,0,Male,0,23/06/2015,Telefundraiser,,,40,MONTHLY GIVING,7/06/2015,Held,1,AQ-PHONE2015,23/06/2015,40,9/05/2016,40,0,,0,,,,,,,,,,,15,600,0,,,0,,,1,7/06/2015,,,,,0,,
406004,0,Female,62500,27/05/2015,Telefundraiser,,,26,MONTHLY GIVING,7/06/2015,Active,1,AQ-PHONE2015,17/06/2015,26,9/05/2016,26,0,,0,TM-Not Interested Financial,UTM1509,11/11/2015,,,,,,,,18,468,0,,,0,,,1,7/06/2015,,,,,0,,
443028,61,Male,0,24/06/2015,Telefundraiser,18/08/2006,Canvasser,26,MONTHLY GIVING,7/07/2015,Terminated,0,AQ-PHONE2015,,0,,0,0,,0,,,,,,,Cancel Recurring Donation,17/07/2015,,,75,1135,1,DD Dishonoured,15/07/2015,0,,,2,7/10/2006,7/07/2015,,,,0,,
49622,60,Female,32500,7/03/2016,Saver,22/05/2015,Telefundraiser,25,MONTHLY GIVING,7/06/2015,Terminated,0,RN-AUTO2016S,10/06/2015,26,7/12/2015,26,1,7/03/2016,0,TM-Not Interested Financial,UTM1509,19/10/2015,,,,,,,,13,330,1,DD Dishonoured,7/08/2015,0,,,2,8/09/2000,7/06/2015,,,,0,,
79973,61,Female,55000,25/07/2015,Canvasser,14/03/1998,Frontliner,15,MONTHLY GIVING,7/07/2015,Active,1,RN-AUTO2015,2/06/2015,10,9/05/2016,15,0,,0,TM-Not Interested Financial,UTM1605,26/05/2016,,,,,,,,231,2390,0,,,0,,,3,14/03/1998,14/03/1998,7/07/2015,,,0,,
70079,48,Female,51400,17/06/2015,Telefundraiser,,,100,MONTHLY GIVING,7/06/2015,Active,1,AQ-AUTO2015,17/06/2015,100,9/05/2016,100,0,,0,,,,,,,,,,,18,1800,0,,,0,,,1,7/06/2015,,,,,0,,
904460,0,Female,100000,19/02/2016,Telefundraiser,,,26,MONTHLY GIVING,7/02/2016,Terminated,0,AQ-PHONE2016,19/02/2016,26,19/02/2016,26,0,,0,,,,,,,Cancel Recurring Donation,29/02/2016,,,1,26,0,,,0,,,1,7/02/2016,,,,,0,,
906743,0,Female,70800,10/02/2016,Telefundraiser,,,26,MONTHLY GIVING,7/02/2016,Active,1,AQ-PHONE2016,24/02/2016,26,9/05/2016,26,0,,0,,,,,,,,,,,10,260,0,,,0,,,1,7/02/2016,,,,,0,,
911978,58,Male,45000,27/05/2015,Telefundraiser,2/03/2000,Frontliner,30,MONTHLY GIVING,7/06/2015,Active,1,AQ-PHONE2015,17/06/2015,30,9/05/2016,30,0,,0,,,,,,,,,,,18,580,0,,,0,,,2,2/03/2000,7/06/2015,,,,0,,
919550,56,Female,53300,18/06/2015,Telefundraiser,24/03/2006,Canvasser,30,MONTHLY GIVING,7/06/2015,Held,1,AQ-PHONE2015,18/06/2015,30,18/11/2015,30,0,,0,,,,,,,,,,,6,180,0,,,1,Ccard chargeback,7/07/2015,2,7/05/2006,7/06/2015,,,,0,,
924029,56,Male,77500,26/07/2015,Canvasser,,,35,MONTHLY GIVING,7/07/2015,Active,1,AQ-DDC2015,26/07/2015,35,9/05/2016,35,0,,0,,,,,,,,,,,17,595,0,,,0,,,1,7/07/2015,,,,,0,,
925196,61,Female,25800,27/10/2015,Telefundraiser,5/06/2015,Telefundraiser,60,MONTHLY GIVING,7/06/2015,Active,1,AQ-AUTO2015; AQ-MDP2015,5/06/2015,30,9/05/2016,60,0,,0,,,,,,,,,,,18,930,0,,,0,,,1,7/06/2015,,,,,0,,
929089,0,Male,33800,5/02/2016,Telefundraiser,,,26,MONTHLY GIVING,7/02/2016,Active,1,AQ-PHONE2016,5/02/2016,26,9/05/2016,26,0,,0,,,,,,,,,,,10,260,0,,,0,,,1,7/02/2016,,,,,0,,
934929,65,Female,53600,24/06/2015,Telefundraiser,1/12/2004,Frontliner,30,MONTHLY GIVING,7/06/2015,Active,1,RN-AUTO2015L,1/07/2015,30,18/05/2016,30,0,,0,,,,,,,,,,,49,695,0,,,1,Ccard chargeback,7/08/2015,2,7/01/2005,7/06/2015,,,,0,,
940694,69,Female,0,,WEB,,,15,MONTHLY GIVING,7/06/2015,Active,1,AQ-WEB2015,4/06/2015,15,9/05/2016,15,0,,0,TM-Not Interested Financial,UTM1510,24/11/2015,,,,,,,,18,270,0,,,0,,,1,7/06/2015,,,,,0,,
942742,46,Female,83300,25/07/2015,Canvasser,16/08/2001,Frontliner,60,ANNUAL GIVING,7/07/2015,Active,1,AQ-DDC2015,25/07/2015,50,25/07/2015,50,0,,0,,,,,,,,,,,11,670,0,,,0,,,2,16/08/2001,7/07/2015,,,,1,"Cannot afford monthly gifts at the moment, askd to change to annual",
948599,56,Female,100000,,WEB,,,30,MONTHLY GIVING,7/02/2016,Terminated,0,AQ-WEB2016,17/02/2016,30,9/05/2016,30,0,,0,,,,,,,,,,,10,300,0,,,0,,,1,7/02/2016,,,,,0,,
971226,74,Female,49200,21/05/2015,Canvasser,29/11/2006,Frontliner,25,MONTHLY GIVING,7/06/2015,Terminated,0,AQ-DDC2015,10/06/2015,25,7/04/2016,25,0,,0,,,,,,,Cancel Recurring Donation,3/05/2016,,,11,275,0,,,0,,,1,7/06/2015,,,,,0,,
977269,0,Male,56700,26/05/2016,Telefundraiser,16/07/2015,Telefundraiser,20,MONTHLY GIVING,7/07/2015,Active,1,AQ-PHONE2015; RN-AUTO2016,7/07/2015,26,9/05/2016,10,0,,1,TM-Yes,UTM1605,26/05/2016,,,,,,,,17,246,0,,,0,,,1,7/07/2015,,,,,0,,
989617,54,Male,41700,9/06/2015,Telefundraiser,13/07/2010,Frontliner,26,MONTHLY GIVING,7/06/2015,Terminated,0,AQ-PHONE2015,,0,,0,0,,0,,,,,,,Cancel Recurring Donation,26/06/2015,,,6,60,1,DD Dishonoured,24/06/2015,0,,,2,15/11/2001,7/06/2015,,,,0,,
990451,50,Male,100000,24/11/2015,Telefundraiser,15/06/2015,Telefundraiser,35,MONTHLY GIVING,7/06/2015,Active,1,AQ-AUTO2015; RN-AUTO2015,1/07/2015,26,9/05/2016,35,0,,1,TM-Yes,UTM1510,24/11/2015,,,,,,,,18,670,0,,,0,,,2,4/07/2001,7/06/2015,,,,0,,
81332,60,Male,51700,18/06/2015,Telefundraiser,19/08/1998,Frontliner,26,MONTHLY GIVING,7/06/2015,Terminated,0,AQ-PHONE2015,2/06/2015,10,2/05/2016,10,0,,0,,,,,,,,,,,215,2150,0,,,1,Ccard chargeback,24/06/2015,2,19/08/1998,7/06/2015,,,,1,Change amount,
82512,50,Female,45000,9/02/2016,Canvasser,27/03/2013,Telefundraiser,35,MONTHLY GIVING,7/02/2016,Terminated,0,AQ-DDC2016,8/06/2015,25,9/05/2016,10,0,,0,TM-Not Interested Financial,UTM1601,3/03/2016,,,,Cancel Recurring Donation,17/02/2016,,,52,1390,0,,,0,,,2,12/11/1998,7/02/2016,,,,0,,
1235854,48,Female,56000,26/07/2015,Canvasser,10/02/1999,Frontliner,40,MONTHLY GIVING,7/07/2015,Active,1,AQ-DDC2015; AQ-MDP2016,26/07/2015,35,9/05/2016,35,0,,0,,,,,,,,,,,34,1690,0,,,0,,,2,10/02/1999,7/07/2015,,,,0,,
1236130,49,Female,94400,10/06/2015,Telefundraiser,10/09/2003,Telefundraiser,26,MONTHLY GIVING,7/06/2015,Active,1,AQ-PHONE2012,24/06/2015,26,9/05/2016,26,0,,0,,,,,,,,,,,22,708,0,,,0,,,3,4/03/1999,10/09/2003,7/06/2015,,,0,,
1236640,41,Female,40800,6/11/2015,Telefundraiser,11/06/2015,Telefundraiser,30,MONTHLY GIVING,7/06/2015,Active,1,AQ-AUTO2015; RN-AUTO2015,11/06/2015,26,9/05/2016,30,0,,1,TM-Yes,UTM1509,12/11/2015,TM-Yes,UTM1510,6/11/2015,,,,,113,1466,0,,,0,,,2,24/03/1999,7/06/2015,,,,0,,
1238162,43,Male,56700,31/05/2016,Telefundraiser,19/02/2016,Agency FR,30,MONTHLY GIVING,7/02/2016,Active,1,AQ-DDC2016; RN-AUTO2016,22/02/2016,20,9/05/2016,20,0,,1,TM-Yes,UTM1605,31/05/2016,,,,,,,,122,1450,0,,,0,,,3,15/06/1999,1/07/2002,7/02/2016,,,0,,
1239176,46,Female,31700,10/08/2015,Saver,25/06/2015,Canvasser,10,MONTHLY GIVING,7/07/2015,Terminated,0,RN-AUTO2015S,15/07/2015,25,7/08/2015,25,1,10/08/2015,0,,,,,,,,,,,82,946,0,,,0,,,2,16/08/1999,7/07/2015,,,,0,,
1239309,40,Female,39200,27/07/2015,Saver,5/06/2015,Telefundraiser,10,MONTHLY GIVING,7/06/2015,Terminated,0,RN-AUTO2015S,24/06/2015,60,7/07/2015,60,1,27/07/2015,0,,,,,,,,,,,4,160,1,DD Dishonoured,7/08/2015,0,,,2,24/08/1999,7/06/2015,,,,0,,
1239435,0,Male,0,11/05/2016,Telefundraiser,8/06/2015,Saver,15,MONTHLY GIVING,7/06/2015,Active,1,RN-AUTO2015S,17/06/2015,6,9/05/2016,6,1,7/06/2015,1,TM-Yes,UTM1604,11/05/2016,,,,,,,,65,780,0,,,0,,,2,25/08/1999,7/06/2015,,,,0,,
1242072,59,Female,23800,17/06/2015,Canvasser,26/01/2000,Frontliner,8,MONTHLY GIVING,7/07/2015,Terminated,0,AQ-DDC2015,8/07/2015,8,7/10/2015,8,0,,0,,,,,,,Cancel Recurring Donation,12/10/2015,,,4,32,0,,,0,,,1,7/07/2015,,,,,0,,
1000677,46,Male,19200,9/06/2015,Telefundraiser,,,58,MONTHLY GIVING,7/06/2015,Active,1,AQ-AUTO2015; RN-AUTO2016,9/06/2015,30,9/05/2016,30,0,,0,,UTM1601,20/01/2016,,UTM1512,31/12/2015,,,,,132,1138,0,,,0,,,2,4/02/2000,7/06/2015,,,,0,,
1243228,43,Male,73800,5/06/2015,Telefundraiser,17/02/2000,Frontliner,30,MONTHLY GIVING,7/06/2015,Terminated,0,AQ-PHONE2015,24/06/2015,30,7/07/2015,30,0,,0,,,,,,,Cancel Recurring Donation,8/07/2015,,,13,115,0,,,0,,,2,17/02/2000,7/06/2015,,,,0,,
1243986,0,Female,0,4/06/2015,Telefundraiser,10/06/2009,Telefundraiser,50,MONTHLY GIVING,7/06/2015,Active,1,AQ-AUTO2015,4/06/2015,50,9/11/2015,50,0,,0,,,,,,,,,,,16,1250,0,,,0,,,2,14/07/2004,7/06/2015,,,,0,,
1245780,45,Male,60000,9/06/2015,Telefundraiser,23/03/2000,Frontliner,26,MONTHLY GIVING,7/06/2015,Terminated,0,AQ-PHONE2015,9/06/2015,26,7/03/2016,26,0,,0,TM-System Unavailable,UTM1510,17/11/2015,,,,,,,,21,480,0,,,0,,,2,23/03/2000,7/06/2015,,,,0,,
1247056,60,Male,53300,6/08/2015,Saver,5/06/2015,Frontliner,10,MONTHLY GIVING,7/06/2015,Active,1,RN-AUTO2015S,24/06/2015,25,9/05/2016,10,1,6/08/2015,0,,,,,,,,,,,21,248,0,,,0,,,2,12/04/2000,7/06/2015,,,,0,,
